CPF Fake,Nome Fake,Endereco Fake,Bairro Fake,CEP,Cidade Fake,UF,Data_Nascimento Fake,Score Fake
10844309591,Abelardo guerra,Rua Amapa (Cj Marex) 711,Val-de-Caes,66617540,Belem,PA,30061983,535
60361123515,Acacio vaccari,"Rua Raimundo Nonato, 1000",Jd Comerciarios,31640230,Belo horizonte,mg,20081968,998
30537654542,Ada teodoro,Rua Manoel Ache 1005,Jardim Iraja,14020590,S J dos campos,SP,27011988,621
63864714311,Adelaide Belem,"Viaduto Tiradentes, 106",Rio Branco,90430200,Porto Alegre,RS,21011982,863
15468393565,Adele Dinis,"Rua Pampulha, 1879",Cj Taquaril,30290494,Belo Horizonte,MG,16021992,418
16080441063,Adele Reis,"Beco Nove de Julho, 12",N Sra Fatima,30230170,Belo horizonte,mg,29031960,882
63683218304,Adelia walker,SCS Quadra 8 Bloco B Lotes 50/65,Asa Sul,70333900,Brasilia,DF,05011966,754
99503764246,Adelina Andrade,Av Brasil 203,Garcia,40100560,Salvador,BA,05021997,931
79070392313,Adelina Cazzian,"Rua Gutenberg Alvarenga, 113",Vila Caraguata,11535090,Cubatao,sp,27051963,947
78853862955,Adelina mazzali,Rua Manoel Ache 995,Jardim Iraja,14020590,S J dos campos,SP,27011988,974
60872866912,Adriane Ibrahim,"Rua prof Max Zendron, 904",Vl Sao Jorge,06402010,Barueri,SP,08031972,439
00421269405,Adrienne Ferrari,Rua Manoel Ache 1006,Jardim Iraja,14020590,S J dos campos,SP,27011988,705
47831341625,Agatha Britto,"Rua Placido de Castro, 8122",J Kubitschek,76829385,Porto Velho,RO,19011980,487
73474751204,Agatha Fogaca,"Rua Noruega, 1934",Jd Alto Rio Preto,15020230,S J do Rio Preto,sp,06041968,453
40392874954,Agnes vescovi,"AV CABO BRANCO, 26",Cabo Branco,58045905,Joao Pessoa,PB,13011974,155
33325725554,Akako Crespo,"Avenida N Sra de Copacabana, 1109",Copacabana,22070011,Rio de Janeiro,RJ,17011978,183
54342029022,Alaíde Menezes,Rua Sao Joao 257,Santa Laura,78091152,Cuiaba,MT,11011972,457
76118657491,Alana ladeira,Rua Nova Republica 500 5 and,Vila Luizao,65068635,Sao Luiz,MA,08011969,391
51625859392,Alana Neves,Rua Sao Joao 262,Santa Laura,78091152,Cuiaba,MT,11011972,878
51029585504,Alanna Maia,"Avenida Rui Barbosa, 803",Torre,58040490,Joao Pessoa,PB,19021989,825
48446690527,Alba de Gouveia,"Viaduto Tiradentes, 102",Rio Branco,90430200,Porto Alegre,RS,21011982,576
30995067376,Alba de Novais,"Avenida Rui Barbosa, 800",Torre,58040490,Joao pessoa,PB,06081956,711
54366560305,Alba lage,"Rua Placido de Castro, 8128",J Kubitschek,76829385,Porto Velho,RO,19011980,838
24403259375,Albertina Dinis,Rua Joe Collaço. 583,Santa Monica,88035200,Florianopolis,SC,22011983,543
18307905877,Albertina meira,"Rua Gutenberg Alvarenga, 116",Vila Caraguata,11535090,Cubatao,sp,27051963,894
98369218008,Alcione Nobrega,Rua Nova Republica 500 24 and,Vila Luizao,65068635,Sao Luiz,MA,08011969,826
23602104249,Alcione saad,"Rua Gutenberg Alvarenga, 118",Vila Caraguata,11535090,Cubatao,sp,27051963,280
17210685898,Alda Farias,Avenida Ceci 789,Tambore,06460120,Barueri,SP,19031963,679
61830899236,Aldine mazzaropi,"Rua Placido de Castro, 8133",J Kubitschek,76829385,Porto Velho,RO,19011980,602
69251960593,Aldine timberg,Rua Lapa 24 apto 17,Esplanada,30280120,Belo Horizonte,MG,09011970,719
25769670193,Alegra castiel,Rua Sao Joao 271,Santa Laura,78091152,Cuiaba,MT,11011972,683
19608753295,Alex Belem,"Rua Paulista, 789 cj 22",Piraja,31910340,Belo horizonte,mg,08041970,785
35354505275,Alexandra couto,Rua Joe Collaço. 577,Santa Monica,88035200,Florianopolis,SC,22011983,841
16979137255,Alexandra dutra,"Avenida Rui Barbosa, 799",Torre,58040490,Joao Pessoa,PB,03021995,927
39551807782,Alice ferreira,"Rua Placido de Castro, 8124",J Kubitschek,76829385,Porto Velho,RO,19011980,788
89199723204,Alicia ceotto,"Av. Glaycon de Paiva, 730",Centro,69301250,Bos Vista,RR,20011981,582
27677387829,aline ferrarini,Rua Lapa 399,Esplanada,30280120,Belo Horizonte,MG,09011970,749
47447753068,aline ferreira,"Travessa Largo do Farol, 56 casa 3",Mae Luiza,59014382,Natal,RN,18011979,688
78856766175,aline Santana,Rua Manoel Ache 1007,Jardim Iraja,14020590,S J dos campos,SP,27011988,969
38070125594,alisson vescovi,"Av. Glaycon de Paiva, 723",Centro,69301250,Bos Vista,RR,20011981,677
75627280034,Allegra Magalhaes,"Rua Placido de Castro, 8141",J Kubitschek,76829385,Porto Velho,RO,19011980,896
44679812923,Allegra Ourique,"Av. Glaycon de Paiva, 725",Centro,69301250,Bos Vista,RR,20011981,725
92682302912,Allegra rigone,"Beco da Consolacao, 101 casa 2",Consolacao,29045466,Vitoria,ES,06011967,267
77788068438,Alvaro grillo,"Viaduto Tiradentes, 110",Rio Branco,90430200,Porto Alegre,RS,21011982,527
97483892609,alysson de Velloso,"Beco da Consolacao, 101 casa 7",Consolacao,29045466,Vitoria,ES,06011967,740
32821121571,alysson Reis,Rua Nova Republica 500 12 and,Vila Luizao,65068635,Sao Luiz,MA,08011969,866
31424213517,Alzira Floriano,Rua Lapa 24 apto 23,Esplanada,30280120,Belo Horizonte,MG,09011970,519
75523707856,amaury Portela,"Rua Placido de Castro, 8119",J Kubitschek,76829385,Porto Velho,RO,19011980,537
65936393119,amaury zucoloto,"2a Travessa Rio Largo, 7",COHAB,51340002,Recife,PE,14011975,967
88502292161,Amelie Marques,"Rua Raimundo Nonato, 2004",Jd Comerciarios,31640230,Belo Horizonte,MG,01051990,840
67237192558,Amisha guerra,Alameda do Forte 1811,Piata,41650375,Salvador,BA,04011964,61
76654805194,Amisha Ramires,Rua Manoel Ache 1003,Jardim Iraja,14020590,S J dos campos,SP,27011988,629
11486702546,Ana Albuquerque,Rua Lapa 24 apto 20,Esplanada,30280120,Belo Horizonte,MG,09011970,367
